popularity,year,artists,Song Title,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,Decade,Rank
49,1926,Fats Waller,Ain't Misbehavin',0.35,0.821,0.515,237773,0.222,0.00193,0.19,-16.918,0.0575,98.358,20s,3.0
51,1928,Benny Goodman,"Sing, Sing, Sing",0.259,0.847,0.626,520133,0.7440000000000001,0.892,0.145,-9.189,0.0662,113.117,20s,2.0
52,1929,Louis Armstrong,Mack the Knife,0.713,0.586,0.6729999999999999,201467,0.377,0.0,0.332,-14.140999999999998,0.0697,88.973,20s,1.0
55,1930,Joe Quartz,Monster Faladoré,0.377,0.8109999999999999,0.521,285962,0.364,0.0097,0.143,-10.494000000000002,0.0641,95.234,30s,3.0
64,1933,"Billie Holiday, Eddie Heywood",All of Me (with Eddie Heywood & His Orchestra),0.403,0.972,0.504,181440,0.0644,4.36e-06,0.174,-14.754,0.0408,106.994,30s,1.0
60,1939,Harry James,"It's Been a Long, Long Time",0.375,0.938,0.271,203773,0.219,0.00086,0.263,-9.767,0.031,74.68,30s,2.0
76,1942,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas,0.247,0.6729999999999999,0.317,177480,0.158,0.353,0.338,-16.485,0.0381,130.503,40s,1.0
70,1944,Judy Garland,Have Yourself A Merry Little Christmas,0.107,0.97,0.156,162333,0.184,0.00458,0.26,-14.82,0.0393,180.887,40s,3.0
71,1945,Bing Crosby,It's Beginning To Look Like Christmas,0.5760000000000001,0.77,0.473,166000,0.212,0.0,0.136,-15.018,0.0496,96.94,40s,2.0
74,1957,Elvis Presley,Blue Christmas,0.58,0.9,0.465,129173,0.27,0.00104,0.145,-16.660999999999998,0.0425,94.518,50s,3.0
81,1959,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,0.701,0.912,0.451,117147,0.24,2.45e-06,0.175,-14.014,0.0351,134.009,50s,1.0
75,1959,Chuck Berry,Johnny B. Goode,0.969,0.741,0.534,161560,0.8029999999999999,6.07e-05,0.307,-9.129,0.0743,167.983,50s,2.0
83,1963,Andy Williams,It's the Most Wonderful Time of the Year,0.7759999999999999,0.7659999999999999,0.24,151933,0.598,0.0,0.117,-8.435,0.0369,201.629,60s,2.0
85,1964,Brenda Lee,Rockin' Around The Christmas Tree,0.898,0.614,0.589,126267,0.472,0.0,0.505,-8.749,0.0502,67.196,60s,1.0
82,1969,The Beatles,Here Comes The Sun - Remastered 2009,0.394,0.0339,0.557,185733,0.54,0.00248,0.179,-10.484000000000002,0.0347,129.171,60s,3.0
83,1976,Eagles,Hotel California - 2013 Remaster,0.609,0.00574,0.579,391376,0.508,0.000494,0.0575,-9.484,0.027,147.125,70s,3.0
89,1977,Fleetwood Mac,Dreams - 2004 Remaster,0.789,0.0644,0.828,257800,0.4920000000000001,0.00428,0.128,-9.744,0.0276,120.151,70s,1.0
84,1979,AC/DC,Highway to Hell,0.423,0.061,0.574,208400,0.913,0.00158,0.156,-4.793,0.133,115.728,70s,2.0
84,1980,AC/DC,Back In Black,0.763,0.011,0.31,255493,0.7,0.00965,0.0828,-5.678,0.047,188.386,80s,1.0
84,1983,The Police,Every Breath You Take,0.74,0.5429999999999999,0.82,253920,0.452,0.00294,0.0714,-9.796,0.0348,117.401,80s,2.0
84,1985,a-ha,Take on Me,0.8759999999999999,0.018,0.573,225280,0.902,0.00125,0.0928,-7.638,0.054,84.412,80s,3.0
83,1990,AC/DC,Thunderstruck,0.259,0.000147,0.502,292880,0.89,0.0117,0.217,-5.175,0.0364,133.52,90s,2.0
83,1992,Bobby Helms,Jingle Bell Rock,0.8059999999999999,0.643,0.754,130973,0.424,0.0,0.0652,-8.463,0.0363,119.705,90s,3.0
88,1994,Mariah Carey,All I Want for Christmas Is You,0.35,0.1639999999999999,0.336,241107,0.627,0.0,0.0708,-7.462999999999999,0.0384,150.273,90s,1.0
84,2000,Coldplay,Yellow,0.285,0.00239,0.429,266773,0.6609999999999999,0.000121,0.234,-7.227,0.0281,173.372,2000s,1.0
84,2000,Linkin Park,In the End,0.4,0.00958,0.556,216880,0.8640000000000001,0.0,0.209,-5.87,0.0584,105.143,2000s,2.0
84,2002,"Eminem, Nate Dogg",'Till I Collapse,0.1,0.0622,0.5479999999999999,297787,0.847,0.0,0.0816,-3.237,0.186,171.447,2000s,3.0
94,2019,Harry Styles,Watermelon Sugar,0.557,0.122,0.5479999999999999,174000,0.816,0.0,0.335,-4.209,0.0465,95.39,2010s,1.0
91,2019,Lewis Capaldi,Someone You Loved,0.446,0.7509999999999999,0.501,182161,0.405,0.0,0.105,-5.678999999999999,0.0319,109.891,2010s,3.0
92,2019,"Topic, A7S",Breaking Me,0.664,0.223,0.789,166794,0.72,0.0,0.129,-5.652,0.218,122.031,2010s,2.0
99,2020,"24kGoldn, iann dior",Mood (feat. iann dior),0.7559999999999999,0.221,0.7,140526,0.722,0.0,0.272,-3.5580000000000003,0.0369,90.989,2020s,2.0
100,2020,"Bad Bunny, Jhay Cortez",Dakiti,0.145,0.401,0.731,205090,0.573,5.22e-05,0.113,-10.059,0.0544,109.928,2020s,1.0
97,2020,BTS,Dynamite,0.737,0.0112,0.746,199054,0.765,0.0,0.0936,-4.41,0.0993,114.044,2020s,3.0
